author_list,affiliation,organization_type
François Bouchet,University 25,University
Jean-Paul Sansonnet,Company 13,Company
Alexander Borgida,Company 22,Company
Michael L. Littman,Company 23,Company
Thomas J. Walsh 0001,Company 10,Company
Frank McCarey,University 22,University
Mel Ó Cinnéide,University 26,University
Nicholas Kushmerick,University 26,University
Omkaresh Kulkarni,Company 7,Company
Ravi Sankar Vadali,Company 29,Company
Feng Zeng,University 1,University
Hua Liang,University 22,University
Abdulelah Aldahami,Company 14,Company
Taizan Chan,Company 27,Company
Yuefeng Li,Company 19,Company
Alain Gaetan Njimolu Anyouzoa,Company 21,Company
Theo D'Hondt,Company 1,Company
Larry M. Manevitz,University 28,University
Malik Yousef,Company 20,Company
Feiyu Xu,University 28,University
Günter Neumann,University 30,University
Antonín Komenda,Company 29,Company
Jirí Vokrínek,Company 30,Company
Michal Pechoucek,University 1,University
Claudio Castellini,Company 24,Company
Egon L. van den Broek,Company 29,Company
Freek Stulp,University 22,University
Friedhelm Schwenker,Company 27,Company
Karan Sharma,Company 11,Company
Marius Wagner,Company 3,Company
Dana Doherty,University 15,University
Kevin Curran,Company 5,Company
Heniguli Wumaier,University 8,University
Jian Gao,University 9,University
Jin Zhou,University 12,University
Eugénio C. Oliveira,University 9,University
Lennart E. Nacke,University 22,University
Pedro Alves Nogueira,University 10,University
Rui Rodrigues 0001,University 14,University
Chih-Ming Chen,University 10,University
Haralambos Mouratidis,Company 7,Company
Manuel Kolp,Company 7,Company
Paolo Giorgini,Company 30,Company
Stéphane Faulkner,University 10,University
Lin Li 0001,Company 2,Company
Luo Zhong,Company 24,Company
Shengqiong Yuan,Company 2,Company
Chuqian Sheng,University 27,University
Li Liu 0001,Company 9,Company
Ming Liu 0007,University 1,University
Vasile Rus,Company 9,Company
Yue Li,University 28,University
Chong Mun Ho,University 5,University
Jacob Sow,Company 19,Company
Patricia Anthony,University 17,University
Cheng-Wei Lee 0001,Company 30,Company
Cheng-Wei Shih,Company 25,Company
Chuan-Jie Lin,Company 13,Company
Wen-Lian Hsu,University 3,University
Jan Treur,University 29,University
Bo Li,University 9,University
Feng Wang,Company 4,Company
Gang Li 0009,Company 22,Company
Qi Ye,Company 12,Company
Zhimin Liu,University 25,University
Haiyang Huang,Company 1,Company
Zhanlei Shang,University 29,University
Brian Thoms,Company 11,Company
Evren Eryilmaz,Company 26,Company
Nicole Dubin,Company 14,Company
Rafael Hernandez,Company 6,Company
Sara Colon-Cerezo,Company 2,Company
Jessica Chen,University 12,University
Jianguo Lu,Company 1,Company
Jie Liang,Company 8,Company
Jiming Liu 0001,Company 2,Company
Yan Wang 0014,University 25,University
Lin Li,University 21,University
Rui Zhang,University 28,University
Wenfeng Zhao,Company 15,Company
Xiaojie Li,Company 20,Company
Xichang Li,University 19,University
Xudong Zhang,Company 15,Company
Zhipei Yu,Company 21,Company
Zhonghui Hu,University 16,University
Jun-Jang Jeng,University 27,University
Prabir Nandi,University 26,University
Santhosh Kumaran,University 20,University
Yiming Ye,Company 24,Company
Christoph Meinel,University 19,University
Patrick Hennig,University 8,University
Philipp Berger 0001,Company 1,Company
Raad Bin Tareaf,University 29,University
Laurent Vercouter,University 13,University
Pierre Maret,University 19,University
Rajendra Akerkar,Company 24,Company
Jinping Cao,University 15,University
Meihui Hu,Company 18,Company
Ruohan Sun,University 11,University
Wanxing Xiao,Company 26,Company
Xinying Guo,Company 29,Company
Jiajin Huang,University 22,University
Jian Wang,University 9,University
Ning Zhong 0001,Company 28,Company
Gang Li 0009,University 28,University
Ping Xiong,University 14,University
Tianqing Zhu,University 7,University
Wanlei Zhou 0001,Company 24,Company
Yongli Ren,University 13,University
Félix F. Ramos Corchado,University 19,University
J. Octavio Gutiérrez-García,Company 3,Company
Jean-Luc Koning,University 19,University
James Zijun Wang,Company 22,Company
