article:ID,author:string[],crossref:string,editor:string[],ee:string[],journal:string,key:string,number:string,pages:string,title:string,volume:string,year:int,doi,volume_key,corresponding_author,keywords
577,Hugo Hellebrand|Markus Casper|Ralf Merz|Rita Ley,Hydrology and Earth System Sciences20111,,https://doi.org/10.5194/hess-15-2947-2011,Hydrology and Earth System Sciences,persons/LeyCHM11,1,2947-2962,Catchment classification by runoff behaviour with self-organizing maps (SOM),15,2011,https://doi.org/10.5194/hess-15-2947-2011,Hydrology and Earth System Sciences20111,Hugo Hellebrand,selforganizing|som|catchment|maps|classification|behaviour|runoff
583,Markus Tresch,"ETH Zurich, Department of Computer Science / Technical Report19961",,https://doi.org/10.3929/ethz-a-006651652,"ETH Zurich, Department of Computer Science / Technical Report",persons/Tresch96,1,1-27,Principles of Distributed Object Database Languages.,248,1996,https://doi.org/10.3929/ethz-a-006651652,"ETH Zurich, Department of Computer Science / Technical Report19961",Markus Tresch,distributed|principles|object|languages|database
585,Andreas Rock|Gayane Grigoryan|Günther Heinemann|Markus Casper|Oliver Gronz|Oliver Gutjahr|Rita Ley,Hydrology and Earth System Sciences20121,,https://doi.org/10.5194/hess-16-409-2012,Hydrology and Earth System Sciences,persons/CasperGGGHLR12,1,409-421,Analysis of projected hydrological behavior of catchments based on signature indices,16,2012,https://doi.org/10.5194/hess-16-409-2012,Hydrology and Earth System Sciences20121,Andreas Rock,indices|hydrological|signature|behavior|based|projected|catchments|analysis
28670,Sarah R. Davies,Sci. Eng. Ethics20194,,https://doi.org/10.1007/s11948-018-0064-y|https://www.wikidata.org/entity/Q58657000,Sci. Eng. Ethics,journals/see/Davies19,4,1235-1253,An Ethics of the System: Talking to Scientists About Research Integrity.,25,2019,https://doi.org/10.1007/s11948-018-0064-y|https://www.wikidata.org/entity/Q58657000,Sci. Eng. Ethics20194,Sarah R. Davies,scientists|ethics|integrity|talking|research|system
28671,Colleen Murphy|Paolo Gardoni,Sci. Eng. Ethics20081,,https://doi.org/10.1007/s11948-007-9031-8|https://www.wikidata.org/entity/Q81305817,Sci. Eng. Ethics,journals/see/MurphyG08,1,77-92,The Acceptability and the Tolerability of Societal Risks: A Capabilities-based Approach.,14,2008,https://doi.org/10.1007/s11948-007-9031-8|https://www.wikidata.org/entity/Q81305817,Sci. Eng. Ethics20081,Colleen Murphy,capabilitiesbased|approach|risks|tolerability|societal|acceptability
28672,Louise A. Dennis,Sci. Eng. Ethics20205,,https://doi.org/10.1007/s11948-020-00244-y|https://www.wikidata.org/entity/Q98199263,Sci. Eng. Ethics,journals/see/Dennis20,5,2487-2495,"Computational Goals, Values and Decision-Making.",26,2020,https://doi.org/10.1007/s11948-020-00244-y|https://www.wikidata.org/entity/Q98199263,Sci. Eng. Ethics20205,Louise A. Dennis,computational|goals|values|decisionmaking
28673,Steven R. Smith,Sci. Eng. Ethics20123,,https://doi.org/10.1007/s11948-012-9390-7|https://www.wikidata.org/entity/Q44045116,Sci. Eng. Ethics,journals/see/Smith12,3,475-481,"Neuroscience, Ethics and Legal Responsibility: The Problem of the Insanity Defense - Commentary on ""The Ethics of Neuroscience and the Neuroscience of Ethics: A Phenomenological-Existential Approach"".",18,2012,https://doi.org/10.1007/s11948-012-9390-7|https://www.wikidata.org/entity/Q44045116,Sci. Eng. Ethics20123,Steven R. Smith,problem|defense|ethics|insanity|neuroscience|approach|commentary|responsibility|legal|phenomenologicalexistential
28674,Lishan Lan|Qin Zhu|Yongmou Liu,Sci. Eng. Ethics20215,,https://doi.org/10.1007/s11948-021-00341-6,Sci. Eng. Ethics,journals/see/LanZL21,5,64,The Rule of Virtue: A Confucian Response to the Ethical Challenges of Technocracy.,27,2021,https://doi.org/10.1007/s11948-021-00341-6,Sci. Eng. Ethics20215,Lishan Lan,technocracy|ethical|confucian|rule|virtue|challenges|response
28675,Indira Nair|William M. Bulleit,Sci. Eng. Ethics20201,,https://doi.org/10.1007/s11948-018-0080-y|https://www.wikidata.org/entity/Q90930992,Sci. Eng. Ethics,journals/see/NairB20,1,65-87,Pragmatism and Care in Engineering Ethics.,26,2020,https://doi.org/10.1007/s11948-018-0080-y|https://www.wikidata.org/entity/Q90930992,Sci. Eng. Ethics20201,Indira Nair,ethics|engineering|pragmatism|care
28676,Jaime A. Teixeira da Silva,Sci. Eng. Ethics20181,,https://doi.org/10.1007/s11948-016-9863-1|https://www.wikidata.org/entity/Q53750216,Sci. Eng. Ethics,journals/see/Silva18,1,323-325,"Reflection on the Fazlul Sarkar versus PubPeer (""John Doe"") Case.",24,2018,https://doi.org/10.1007/s11948-016-9863-1|https://www.wikidata.org/entity/Q53750216,Sci. Eng. Ethics20181,Jaime A. Teixeira da Silva,sarkar|reflection|versus|john|case|fazlul|doe|pubpeer
28677,Vito L. Punzi,Sci. Eng. Ethics20184,,https://doi.org/10.1007/s11948-017-9948-5|https://www.wikidata.org/entity/Q47776669,Sci. Eng. Ethics,journals/see/Punzi18,4,1253-1277,A Social Responsibility Guide for Engineering Students and Professionals of all Faith Traditions: An Overview.,24,2018,https://doi.org/10.1007/s11948-017-9948-5|https://www.wikidata.org/entity/Q47776669,Sci. Eng. Ethics20184,Vito L. Punzi,engineering|professionals|traditions|responsibility|faith|overview|students|guide|social
28678,David Koepsell,Sci. Eng. Ethics20101,,https://doi.org/10.1007/s11948-009-9158-x|https://www.wikidata.org/entity/Q33706687,Sci. Eng. Ethics,journals/see/Koepsell10,1,119-133,On Genies and Bottles: Scientists' Moral Responsibility and Dangerous Technology R&D.,16,2010,https://doi.org/10.1007/s11948-009-9158-x|https://www.wikidata.org/entity/Q33706687,Sci. Eng. Ethics20101,David Koepsell,scientists|bottles|dangerous|responsibility|rd|moral|genies|technology
28679,William J. Frey,Sci. Eng. Ethics20103,,https://doi.org/10.1007/s11948-009-9164-z|https://www.wikidata.org/entity/Q49048410,Sci. Eng. Ethics,journals/see/Frey10,3,611-628,Teaching Virtue: Pedagogical Implications of Moral Psychology.,16,2010,https://doi.org/10.1007/s11948-009-9164-z|https://www.wikidata.org/entity/Q49048410,Sci. Eng. Ethics20103,William J. Frey,psychology|pedagogical|teaching|implications|moral|virtue
28680,Amarjeet Singh 0004|Kewal Krishan|Neelam Dehal|Tanuj Kanchan,Sci. Eng. Ethics20182,,https://doi.org/10.1007/s11948-017-9903-5|https://www.wikidata.org/entity/Q47225481,Sci. Eng. Ethics,journals/see/DehalKKS18,2,773-777,Mandatory Publications: An Approach to Kill 'Lack of Will' or 'Lack of Skill'?,24,2018,https://doi.org/10.1007/s11948-017-9903-5|https://www.wikidata.org/entity/Q47225481,Sci. Eng. Ethics20182,Amarjeet Singh 0004,publications|lack|approach|skill|kill|mandatory
28681,Adrian Treloar|Alastair J. D. Macdonald|Dimitrios Adamis|Finbarr C. Martin,Sci. Eng. Ethics20101,,https://doi.org/10.1007/s11948-009-9120-y|https://www.wikidata.org/entity/Q51871907,Sci. Eng. Ethics,journals/see/AdamisTMM10,1,169-174,Ethical Research in Delirium: Arguments for Including Decisionally Incapacitated Subjects.,16,2010,https://doi.org/10.1007/s11948-009-9120-y|https://www.wikidata.org/entity/Q51871907,Sci. Eng. Ethics20101,Adrian Treloar,subjects|ethical|arguments|including|research|delirium|decisionally|incapacitated
28682,Jinnie M. Garrett|Stephanie J. Bird,Sci. Eng. Ethics20074,,https://doi.org/10.1007/s11948-007-9016-7,Sci. Eng. Ethics,journals/see/GarrettB07,4,581,Ethical Issues in Communicating Science.,13,2007,https://doi.org/10.1007/s11948-007-9016-7,Sci. Eng. Ethics20074,Jinnie M. Garrett,communicating|issues|ethical|science
28683,Brian Bowe|Diana Adela Martin|Eddie Conlon,Sci. Eng. Ethics20215,,https://doi.org/10.1007/s11948-021-00333-6,Sci. Eng. Ethics,journals/see/MartinCB21,5,60,A Multi-level Review of Engineering Ethics Education: Towards a Socio-technical Orientation of Engineering Education for Ethics.,27,2021,https://doi.org/10.1007/s11948-021-00333-6,Sci. Eng. Ethics20215,Brian Bowe,towards|review|engineering|multilevel|orientation|sociotechnical|ethics|education
28684,Petr Houdek,Sci. Eng. Ethics20202,,https://doi.org/10.1007/s11948-019-00117-z|https://www.wikidata.org/entity/Q92736437,Sci. Eng. Ethics,journals/see/Houdek20,2,691-707,Fraud and Understanding the Moral Mind: Need for Implementation of Organizational Characteristics into Behavioral Ethics.,26,2020,https://doi.org/10.1007/s11948-019-00117-z|https://www.wikidata.org/entity/Q92736437,Sci. Eng. Ethics20202,Petr Houdek,fraud|understanding|implementation|characteristics|behavioral|ethics|organizational|moral|need|mind
28685,Enrica Marchigiani|Ileana Di Pomponio|Margherita Bracci|Oronzo Parlangeli|Paola Palmitesta|Stefano Guidi,Sci. Eng. Ethics20221,,https://doi.org/10.1007/s11948-022-00362-9,Sci. Eng. Ethics,journals/see/ParlangeliPBMPG22,1,9,"University Teachers During the First Lockdown Due to SARS-CoV-2 in Italy: Stress, Issues and Perceptions of Misconduct.",28,2022,https://doi.org/10.1007/s11948-022-00362-9,Sci. Eng. Ethics20221,Enrica Marchigiani,lockdown|italy|issues|stress|due|misconduct|university|sarscov2|teachers|first|perceptions
28686,Laura Yenisa Cabrera Trujillo|Sabrina Engel-Glatter,Sci. Eng. Ethics20153,,https://doi.org/10.1007/s11948-014-9556-6|https://www.wikidata.org/entity/Q38217150,Sci. Eng. Ethics,journals/see/TrujilloE15,3,595-617,Human-Animal Chimera: A Neuro Driven Discussion? Comparison of Three Leading European Research Countries.,21,2015,https://doi.org/10.1007/s11948-014-9556-6|https://www.wikidata.org/entity/Q38217150,Sci. Eng. Ethics20153,Laura Yenisa Cabrera Trujillo,comparison|driven|leading|countries|neuro|discussion|chimera|research|european|humananimal|three
28687,Peter M. Attia,Sci. Eng. Ethics20133,,https://doi.org/10.1007/s11948-012-9422-3|https://www.wikidata.org/entity/Q48339685,Sci. Eng. Ethics,journals/see/Attia13,3,1007-1016,Mega-Sized Concerns from the Nano-Sized World: The Intersection of Nano- and Environmental Ethics.,19,2013,https://doi.org/10.1007/s11948-012-9422-3|https://www.wikidata.org/entity/Q48339685,Sci. Eng. Ethics20133,Peter M. Attia,environmental|ethics|intersection|concerns|world|nano|megasized|nanosized
28688,Albert P. C. Chan|Amos Darko|Igor Martek|M. Reza Hosseini|Mahdi Tahmasebi|Saeed Banihashemi,Sci. Eng. Ethics20201,,https://doi.org/10.1007/s11948-019-00089-0|https://www.wikidata.org/entity/Q91374986,Sci. Eng. Ethics,journals/see/HosseiniMBCDT20,1,205-231,Distinguishing Characteristics of Corruption Risks in Iranian Construction Projects: A Weighted Correlation Network Analysis.,26,2020,https://doi.org/10.1007/s11948-019-00089-0|https://www.wikidata.org/entity/Q91374986,Sci. Eng. Ethics20201,Albert P. C. Chan,characteristics|distinguishing|construction|projects|analysis|corruption|risks|correlation|iranian|network|weighted
28689,Matthew Grellette,Sci. Eng. Ethics20223,,https://doi.org/10.1007/s11948-022-00379-0,Sci. Eng. Ethics,journals/see/Grellette22,3,28,Tech Ethics Through Trust Auditing.,28,2022,https://doi.org/10.1007/s11948-022-00379-0,Sci. Eng. Ethics20223,Matthew Grellette,auditing|tech|ethics|trust
28690,Christian Gamborg|Ellen-Marie Forsberg|Karsten Klint Jensen|Kate Millar|Peter Sandøe,Sci. Eng. Ethics20113,,https://doi.org/10.1007/s11948-010-9218-2|https://www.wikidata.org/entity/Q53070734,Sci. Eng. Ethics,journals/see/JensenFGMS11,3,425-445,Facilitating Ethical Reflection Among Scientists Using the Ethical Matrix.,17,2011,https://doi.org/10.1007/s11948-010-9218-2|https://www.wikidata.org/entity/Q53070734,Sci. Eng. Ethics20113,Christian Gamborg,scientists|among|reflection|using|facilitating|ethical|matrix
28691,Gizell Green|Miri Barak,Sci. Eng. Ethics20211,,https://doi.org/10.1007/s11948-021-00280-2,Sci. Eng. Ethics,journals/see/BarakG21,1,8,Applying a Social Constructivist Approach to an Online Course on Ethics of Research.,27,2021,https://doi.org/10.1007/s11948-021-00280-2,Sci. Eng. Ethics20211,Gizell Green,applying|constructivist|ethics|approach|online|research|course|social
28692,Rafi Rashid,Sci. Eng. Ethics20203,,https://doi.org/10.1007/s11948-019-00174-4|https://www.wikidata.org/entity/Q92485691,Sci. Eng. Ethics,journals/see/Rashid20,3,1861-1872,Training STEM Ph.D. Students to Deal with Moral Dilemmas.,26,2020,https://doi.org/10.1007/s11948-019-00174-4|https://www.wikidata.org/entity/Q92485691,Sci. Eng. Ethics20203,Rafi Rashid,moral|training|phd|stem|deal|students|dilemmas
28693,Raymond E. Spier|Stephanie J. Bird,Sci. Eng. Ethics20141,,https://doi.org/10.1007/s11948-014-9527-y|https://www.wikidata.org/entity/Q53621942,Sci. Eng. Ethics,journals/see/SpierB14,1,1-3,Science and Engineering Ethics Enters its Third Decade.,20,2014,https://doi.org/10.1007/s11948-014-9527-y|https://www.wikidata.org/entity/Q53621942,Sci. Eng. Ethics20141,Raymond E. Spier,engineering|decade|ethics|enters|third|science
28694,Fabrizia Faustinella|Giovanni M. Pes|Maria Pina Dore,Sci. Eng. Ethics20192,,https://doi.org/10.1007/s11948-018-0031-7|https://www.wikidata.org/entity/Q49949488,Sci. Eng. Ethics,journals/see/DorePF19,2,651-653,Italian Adagio: Every Law has Its Loophole.,25,2019,https://doi.org/10.1007/s11948-018-0031-7|https://www.wikidata.org/entity/Q49949488,Sci. Eng. Ethics20192,Fabrizia Faustinella,adagio|loophole|every|law|italian
28695,Lynne E. Olson,Sci. Eng. Ethics20101,,https://doi.org/10.1007/s11948-010-9196-4|https://www.wikidata.org/entity/Q48229165,Sci. Eng. Ethics,journals/see/Olson10,1,185-200,Developing a Framework for Assessing Responsible Conduct of Research Education Programs.,16,2010,https://doi.org/10.1007/s11948-010-9196-4|https://www.wikidata.org/entity/Q48229165,Sci. Eng. Ethics20101,Lynne E. Olson,framework|developing|conduct|assessing|research|programs|responsible|education
28696,Dena Plemmons|Michael W. Kalichman|Stephanie J. Bird,Sci. Eng. Ethics20123,,https://doi.org/10.1007/s11948-012-9398-z|https://www.wikidata.org/entity/Q36354364,Sci. Eng. Ethics,journals/see/KalichmanPB12,3,423-432,Editors' Overview: Neuroethics: Many Voices and Many Stories.,18,2012,https://doi.org/10.1007/s11948-012-9398-z|https://www.wikidata.org/entity/Q36354364,Sci. Eng. Ethics20123,Dena Plemmons,many|neuroethics|voices|editors|overview|stories
28697,David Koepsell|Sylvia C. Pont|Willem-Paul Brinkman,Sci. Eng. Ethics20154,,https://doi.org/10.1007/s11948-014-9568-2|https://www.wikidata.org/entity/Q38221031,Sci. Eng. Ethics,journals/see/KoepsellBP15,4,1033-1048,Human Participants in Engineering Research: Notes from a Fledgling Ethics Committee.,21,2015,https://doi.org/10.1007/s11948-014-9568-2|https://www.wikidata.org/entity/Q38221031,Sci. Eng. Ethics20154,David Koepsell,participants|engineering|committee|ethics|fledgling|notes|research|human
28698,Nikolas Stroth,Sci. Eng. Ethics20166,,https://doi.org/10.1007/s11948-015-9738-x|https://www.wikidata.org/entity/Q48525086,Sci. Eng. Ethics,journals/see/Stroth16,6,1707-1716,The Central Importance of Laboratories for Reducing Waste in Biomedical Research.,22,2016,https://doi.org/10.1007/s11948-015-9738-x|https://www.wikidata.org/entity/Q48525086,Sci. Eng. Ethics20166,Nikolas Stroth,importance|reducing|central|waste|research|biomedical|laboratories
