author_list,crossref:string[],publish_count
Adem Karahoca,conf/wcit/2010,11
Farideh Hamidi,conf/wcit/2010,11
Mehrak Rahimi,conf/wcit/2010,7
Asawin Meechai,conf/csbio/2012,6
Zoubin Ghahramani,conf/aistats/2009,6
Yong Shi 0001,conf/iccS/2012,6
Fuji Ren,conf/mfcsit/2006,6
Gabor T. Herman,conf/iwcia/2001,5
Tom Bellemans,conf/ant/2012,5
Geert Wets,conf/ant/2012,5
Simone Dantas,conf/lagos/2019,5
Gary A. Atkinson,conf/biotec/2010,5
Davy Janssens,conf/ant/2012,5
Theodore Lim,conf/vsgames/2012,5
Eric P. Xing,conf/aistats/2011,5
Jack J. Dongarra,conf/iccS/2012,5
Leifur Þ. Leifsson,conf/iccS/2012,5
Peter M. A. Sloot,conf/iccS/2010,5
Peter Wegner,conf/oopwork/1986,5
Simone Bacellar Leal Ferreira,conf/dsai/2012,5
José Meseguer,conf/wrla/1998,5
Maciej Paszynski,conf/iccS/2011,5
Walker H. Land Jr.,conf/complexsystems/2011,5
José Meseguer,conf/wrla/1996,5
Guido Rößling,conf/pvw/2008,5
Sham M. Kakade,conf/colt/2012,4
Kristian Kiili,conf/vsgames/2012,4
Margarida Romero,conf/vsgames/2012,4
Supannika Koolmanojwong,conf/cser/2013,4
Victor M. Calo,conf/iccS/2011,4
Yoshua Bengio,conf/aistats/2011,4
Daniel DeLaurentis,conf/cser/2013,4
Walker H. Land Jr.,conf/complexsystems/2012,4
Peter Borovanský,conf/wrla/1998,4
Carla Negri Lintzmayer,conf/lagos/2019,4
Klaus Weihrauch,conf/cca/2006,4
Klaus Weihrauch,conf/cca/2007,4
José Meseguer,conf/wrla/2006,4
José Meseguer,conf/wrla/2004,4
José Meseguer,conf/wrla/2000,4
Peter Coad,conf/oopsla/1992a,4
Guilherme Oliveira Mota,conf/lagos/2019,4
Albert Bifet,conf/wapa/2011,4
Eric Smith,conf/complexsystems/2011,4
Dimitri N. Mavris,conf/cser/2013,4
Tony Jebara,conf/aistats/2007,4
Guido Rößling,conf/pvw/2006,4
