inproceedings:ID,author:string[],booktitle:string,crossref:string[],editor:string[],ee:string[],key:string,number:string,pages:string,title:string,volume:int,year:int,corresponding_author,doi,keywords
159865,Sven Lorenz|Toni Bollinger|Udo Pletat,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_72,journals/lncs/BollingerLP91,,402-427,The LILOG Inference Engine.,,1991,Sven Lorenz,https://doi.org/10.1007/3-540-54594-8_72,indexing|engine|inference|lilog
159866,Geoffrey Simmons|Kai-Uwe Carstensen,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_83,journals/lncs/CarstensenS91,,632-644,Why a Hill Can't be a Valley: Representing Gestalt and Position Properties of Objects with Object Schemata.,,1991,Geoffrey Simmons,https://doi.org/10.1007/3-540-54594-8_83,representing|cant|properties|objects|object|valley|schemata|hill|gestalt|position
159867,David W. Flater|Yelena Yesha,Advanced Database Systems,journals/lncs/1993-759,,https://doi.org/10.1007/3-540-57507-3_13,journals/lncs/FlaterY93,,259-276,Towards Flexible Distributed Information Retrieval.,,1993,David W. Flater,https://doi.org/10.1007/3-540-57507-3_13,information|distributed|retrieval|towards|data querying|flexible
159868,Claus-Rainer Rollinger|Otthein Herzog,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_46,journals/lncs/RollingerH91,,3-13,Introducing LILOG.,,1991,Claus-Rainer Rollinger,https://doi.org/10.1007/3-540-54594-8_46,lilog|introducing
159869,Bharat K. Bhargava|Jagannathan Srinivasan|Prasun Dewan|Yin-he Jiang,Advanced Database Systems,journals/lncs/1993-759,,https://doi.org/10.1007/3-540-57507-3_5,journals/lncs/BhargavaJSD93,,87-103,Transition From A Relation To Object Model Implementation.,,1993,Bharat K. Bhargava,https://doi.org/10.1007/3-540-57507-3_5,model|data storage|transition|implementation|object|relation
159871,Ingo Raasch|Jochen Dörre,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_51,journals/lncs/DorreR91,,55-62,The STUF Workbench.,,1991,Ingo Raasch,https://doi.org/10.1007/3-540-54594-8_51,workbench|stuf
159872,Werner Emde,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_60,journals/lncs/Emde91,,167-179,Managing Lexical Knowledge in LEU/2.,,1991,Werner Emde,https://doi.org/10.1007/3-540-54594-8_60,lexical|leu2|managing|knowledge
159873,Olivier Ridoux,Constraint Programming,journals/lncs/1994-910,,https://doi.org/10.1007/3-540-59155-9_12,journals/lncs/Ridoux94,,209-230,"Imagining CLP(A, equiv alpha beta)",,1994,Olivier Ridoux,https://doi.org/10.1007/3-540-59155-9_12,imagining|beta|clpa|equiv|alpha
159874,Karl-Hans Bläsius,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_73,journals/lncs/Blasius91,,428-438,Knowledge Based Control of the LILOG Inference Engine: Kinds of Metaknowledge.,,1991,Karl-Hans Bläsius,https://doi.org/10.1007/3-540-54594-8_73,inference|lilog|kinds|knowledge|based|big data|control|metaknowledge|engine
159875,Kai von Luck|Thomas Pirlein,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_88,journals/lncs/LuckP91,,703-710,Constructing a Context for LEU/2.,,1991,Kai von Luck,https://doi.org/10.1007/3-540-54594-8_88,leu2|context|constructing
159876,Arif Ghafoor|P. Bruce Berra,Advanced Database Systems,journals/lncs/1993-759,,https://doi.org/10.1007/3-540-57507-3_20,journals/lncs/GhafoorB93,,397-411,Multimedia Database Systems.,,1993,Arif Ghafoor,https://doi.org/10.1007/3-540-57507-3_20,database|multimedia|systems|big data
159877,Jochen Dörre,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_49,journals/lncs/Dorre91,,39-50,The Language STUF.,,1991,Jochen Dörre,https://doi.org/10.1007/3-540-54594-8_49,language|stuf|indexing
159878,Gudrun Klose|Kai von Luck,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_75,journals/lncs/KloseL91,,455-463,The Background Knowledge of the LILOG System.,,1991,Gudrun Klose,https://doi.org/10.1007/3-540-54594-8_75,background|lilog|system|knowledge
159879,Antoine Rauzy,Constraint Programming,journals/lncs/1994-910,,https://doi.org/10.1007/3-540-59155-9_11,journals/lncs/Rauzy94,,193-208,Toupie: a Constraint Language for Model Checking,,1994,Antoine Rauzy,https://doi.org/10.1007/3-540-59155-9_11,model|toupie|big data|constraint|checking|language
159880,Birgit Wesche,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_62,journals/lncs/Wesche91,,200-215,An Alternative Phrase Structure Account of Symmetric Coordination.,,1991,Birgit Wesche,https://doi.org/10.1007/3-540-54594-8_62,phrase|alternative|symmetric|account|structure|data querying|coordination
159881,Roland Seiffert,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_50,journals/lncs/Seifert91,,51-54,Chart-Parsing of STUF Grammars.,,1991,Roland Seiffert,https://doi.org/10.1007/3-540-54594-8_50,chartparsing|stuf|grammars
159883,Hava T. Siegelmann|Ophir Frieder,Advanced Database Systems,journals/lncs/1993-759,,https://doi.org/10.1007/3-540-57507-3_15,journals/lncs/SiegelmannF93,,289-310,Document Allocation In Multiprocessor Information Retrieval Systems.,,1993,Hava T. Siegelmann,https://doi.org/10.1007/3-540-57507-3_15,systems|information|retrieval|big data|document|allocation|multiprocessor
159884,Helmar Gust,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_57,journals/lncs/Gust91,,127-142,Representing Word Meanings.,,1991,Helmar Gust,https://doi.org/10.1007/3-540-54594-8_57,representing|meanings|word|data modeling
159885,Ewald Lang,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_76,journals/lncs/Lang91,,464-481,The LILOG Ontology from a Linguistic Point of View.,,1991,Ewald Lang,https://doi.org/10.1007/3-540-54594-8_76,lilog|linguistic|point|view|ontology
159887,Alexander Bockmayr,Constraint Programming,journals/lncs/1994-910,,https://doi.org/10.1007/3-540-59155-9_2,journals/lncs/Bockmayr94,,22-38,Solving Pseudo-Boolean Constraints,,1994,Alexander Bockmayr,https://doi.org/10.1007/3-540-59155-9_2,solving|pseudoboolean|constraints
159888,Birgit Wesche|Tibor Kiss,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_63,journals/lncs/KissW91,,216-240,Verb Order and Head Movement.,,1991,Birgit Wesche,https://doi.org/10.1007/3-540-54594-8_63,movement|head|indexing|verb|order
159890,Esther König,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_54,journals/lncs/Konig91,,88-101,Gap-Handling Mechanisma In Categorial Grammars.,,1991,Esther König,https://doi.org/10.1007/3-540-54594-8_54,gaphandling|categorial|mechanisma|grammars
159891,Shirley Browne,Advanced Database Systems,journals/lncs/1993-759,,https://doi.org/10.1007/3-540-57507-3_19,journals/lncs/Browne93,,381-396,Communication and Synchronization Issues in Distributed Multimedia Database Systems.,,1993,Shirley Browne,https://doi.org/10.1007/3-540-57507-3_19,multimedia|distributed|communication|database|synchronization|issues|systems|data querying
159892,Nabil R. Adam|Ramesh Subramanian,Advanced Database Systems,journals/lncs/1993-759,,https://doi.org/10.1007/3-540-57507-3_7,journals/lncs/SubramanianA93,,127-150,Applying OOAD in the Design and Implementation of an Intelligent Geographic Information System.,,1993,Nabil R. Adam,https://doi.org/10.1007/3-540-57507-3_7,design|ooad|applying|information|geographic|implementation|intelligent|data querying|system
159893,Barbara Gängler|Ipke Wachsmuth,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_70,journals/lncs/WachsmuthG91,,380-393,Knowledge Packets and Knowledge Packet Structure.,,1991,Barbara Gängler,https://doi.org/10.1007/3-540-54594-8_70,packets|knowledge|data modeling|structure|packet
159894,Jan Wilms,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_89,journals/lncs/Wilms91,,711-718,The Text Understanding System LEU/2.,,1991,Jan Wilms,https://doi.org/10.1007/3-540-54594-8_89,understanding|text|leu2|system
159895,James Clifford,Advanced Database Systems,journals/lncs/1993-759,,https://doi.org/10.1007/3-540-57507-3_8,journals/lncs/Clifford93,,153-173,Indexical Databases.,,1993,James Clifford,https://doi.org/10.1007/3-540-57507-3_8,indexical|indexing|databases
159896,Jochen Dörre|Roland Seiffert,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_48,journals/lncs/DorreS91,,33-38,A Formalism for Natural Language - STUF.,,1991,Jochen Dörre,https://doi.org/10.1007/3-540-54594-8_48,data processing|formalism|stuf|language|natural
159897,Arie Segev|Rakesh Chandra,Advanced Database Systems,journals/lncs/1993-759,,https://doi.org/10.1007/3-540-57507-3_10,journals/lncs/SegevC93,,191-212,A Data Model for Time-Series Analysis.,,1993,Arie Segev,https://doi.org/10.1007/3-540-57507-3_10,timeseries|data|model|analysis
159898,Pascal Van Hentenryck|Vijay A. Saraswat|Yves Deville,Constraint Programming,journals/lncs/1994-910,,https://doi.org/10.1007/3-540-59155-9_15,journals/lncs/HentenryckSD94,,293-316,"Design, Implementation, and Evaluation of the Constraint Language cc(FD)",,1994,Pascal Van Hentenryck,https://doi.org/10.1007/3-540-59155-9_15,design|ccfd|evaluation|implementation|constraint|language
159900,Godehard Link|Hinrich Schütze,Text Understanding in LILOG,journals/lncs/1991-546,,https://doi.org/10.1007/3-540-54594-8_68,journals/lncs/LinkS91,,342-352,The Treatment of Plurality in L-LILOG.,,1991,Godehard Link,https://doi.org/10.1007/3-540-54594-8_68,treatment|llilog|plurality
