proceedings:ID,booktitle:string,editor:string[],ee:string[],key:string,number:string,title:string,volume:string,year:int,in_selected_ip_subset,doi,edition
159870,Text Understanding in LILOG,Claus-Rainer Rollinger|Otthein Herzog,https://doi.org/10.1007/3-540-54594-8,journals/lncs/1991-546,,"Text Understanding in LILOG, Integrating Computational Linguistics and Artificial Intelligence, Final Report on the IBM Germany LILOG-Project",546,1991,True,https://doi.org/10.1007/3-540-54594-8,546
159935,Constraint Programming,Andreas Podelski,https://doi.org/10.1007/3-540-59155-9,journals/lncs/1994-910,,"Constraint Programming: Basics and Trends, Châtillon Spring School, Châtillon-sur-Seine, France, May 16 - 20, 1994, Selected Papers",910,1995,True,https://doi.org/10.1007/3-540-59155-9,910
159951,Advanced Database Systems,Bharat K. Bhargava|Nabil R. Adam,https://doi.org/10.1007/3-540-57507-3,journals/lncs/1993-759,,Advanced Database Systems,759,1993,True,https://doi.org/10.1007/3-540-57507-3,759
227944,Gaussian Processes in Practice,Anton Schwaighofer|Joaquin Quiñonero Candela|Neil D. Lawrence,http://proceedings.mlr.press/v1/,journals/jmlr/2006gpp,,"Gaussian Processes in Practice, Bletchley Park, Bletchley, UK, June 12-13, 2006",1,2007,True,,1
1681953,PLACES,Alan Mycroft|Kohei Honda 0001,http://arxiv.org/abs/1110.3853|https://doi.org/10.4204/EPTCS.69,journals/corr/abs-1110-3853,,"Proceedings Third Workshop on Programming Language Approaches to Concurrency and communication-cEntric Software, PLACES 2010, Paphos, Cyprus, 21st March 2010.",69,2010,True,http://arxiv.org/abs/1110.3853|https://doi.org/10.4204/EPTCS.69,69
1682575,MeCBIC,Gabriel Ciobanu,http://arxiv.org/abs/1211.3476|https://doi.org/10.4204/EPTCS.100,journals/corr/abs-1211-3476,,"Proceedings 6th Workshop on Membrane Computing and Biologically Inspired Process Calculi, MeCBIC 2012, Newcastle, UK, 8th September 2012.",100,2012,True,http://arxiv.org/abs/1211.3476|https://doi.org/10.4204/EPTCS.100,100
1686162,HCVS,Germán Vidal|Temesghen Kahsai,http://arxiv.org/abs/1809.04554|https://doi.org/10.4204/EPTCS.278,journals/corr/abs-1809-04554,,"Proceedings 5th Workshop on Horn Clauses for Verification and Synthesis, HCVS 2018, Oxford, UK, 13th July 2018.",278,2018,True,http://arxiv.org/abs/1809.04554|https://doi.org/10.4204/EPTCS.278,278
1686393,DCDP,Mark S. Miller|Tom Van Cutsem,http://arxiv.org/abs/1006.1689|https://doi.org/10.4204/EPTCS.27,journals/corr/abs-1006-1689,,"Proceedings First International Workshop on Decentralized Coordination of Distributed Processes, DCDP 2010, Amsterdam, The Netherlands, 10th June 2010.",27,2010,True,http://arxiv.org/abs/1006.1689|https://doi.org/10.4204/EPTCS.27,27
1687921,ITRS,Betti Venneri|Elaine Pimentel|Joe B. Wells,http://arxiv.org/abs/1101.4104|https://doi.org/10.4204/EPTCS.45,journals/corr/abs-1101-4104,,"Proceedings Fifth Workshop on Intersection Types and Related Systems, ITRS 2010, Edinburgh, U.K., 9th July 2010.",45,2010,True,http://arxiv.org/abs/1101.4104|https://doi.org/10.4204/EPTCS.45,45
1688202,GandALF,Andrea Orlandini|Patricia Bouyer|Pierluigi San Pietro,http://arxiv.org/abs/1709.01761,journals/corr/abs-1709-01761,,"Proceedings Eighth International Symposium on Games, Automata, Logics and Formal Verification, GandALF 2017, Roma, Italy, 20-22 September 2017.",256,2017,True,,256
1688766,TYPES,Tom Hirschowitz,http://arxiv.org/abs/1103.3111|https://doi.org/10.4204/EPTCS.53,journals/corr/abs-1103-3111,,"Proceedings Types for Proofs and Programs, Revised Selected Papers, TYPES 2009, Aussois, France, 12-15th May 2009.",53,2009,True,http://arxiv.org/abs/1103.3111|https://doi.org/10.4204/EPTCS.53,53
1689132,SLPCS@QPL,Dimitrios Kartsaklis|Laura Rimell|Martha Lewis,http://arxiv.org/abs/1608.01018|https://doi.org/10.4204/EPTCS.221,journals/corr/KartsaklisLR16,,"Proceedings of the 2016 Workshop on Semantic Spaces at the Intersection of NLP, Physics and Cognitive Science, SLPCS@QPL 2016, Glasgow, Scotland, 11th June 2016.",221,2016,True,http://arxiv.org/abs/1608.01018|https://doi.org/10.4204/EPTCS.221,221
1689673,LFMTP,Iliano Cervesato|Kaustuv Chaudhuri,http://arxiv.org/abs/1507.07597|https://doi.org/10.4204/EPTCS.185,journals/corr/CervesatoC15,,"Proceedings Tenth International Workshop on Logical Frameworks and Meta Languages: Theory and Practice, LFMTP 2015, Berlin, Germany, 1 August 2015.",185,2015,True,http://arxiv.org/abs/1507.07597|https://doi.org/10.4204/EPTCS.185,185
1690504,CL&C,Stefano Berardi|Steffen van Bakel|Ulrich Kohlenbach,http://arxiv.org/abs/1606.05820|https://doi.org/10.4204/EPTCS.213,journals/corr/KohlenbachBB16,,"Proceedings Sixth International Workshop on Classical Logic and Computation, CL&C 2016, Porto, Portugal , 23th June 2016.",213,2016,True,http://arxiv.org/abs/1606.05820|https://doi.org/10.4204/EPTCS.213,213
1693305,QSQW,Giuseppe Di Molfetta|Vivien M. Kendon|Yutaka Shikano,https://arxiv.org/abs/2004.01061|https://doi.org/10.4204/EPTCS.315,journals/corr/abs-2004-01061,,"Proceedings 9th International Conference on Quantum Simulation and Quantum Walks, QSQW 2020, Marseille, France, 20-24/01/2020.",315,2020,True,https://arxiv.org/abs/2004.01061|https://doi.org/10.4204/EPTCS.315,315
1694277,F-IDE,Catherine Dubois|Dimitra Giannakopoulou|Dominique Méry,http://arxiv.org/abs/1404.5785|https://doi.org/10.4204/EPTCS.149,journals/corr/DuboisGM14,,"Proceedings 1st Workshop on Formal Integrated Development Environment, F-IDE 2014, Grenoble, France, April 6, 2014.",149,2014,True,http://arxiv.org/abs/1404.5785|https://doi.org/10.4204/EPTCS.149,149
1695511,EXPRESS,Daniele Gorla|Sibylle B. Fröschle,http://arxiv.org/abs/0911.3189|https://doi.org/10.4204/EPTCS.8,journals/corr/abs-0911-3189,,"Proceedings 16th International Workshop on Expressiveness in Concurrency, EXPRESS 2009, Bologna, Italy, 5th September 2009.",8,2009,True,http://arxiv.org/abs/0911.3189|https://doi.org/10.4204/EPTCS.8,8
1697554,AFL,Zoltán Fülöp 0001|Zoltán Ésik,http://arxiv.org/abs/1405.5272|https://doi.org/10.4204/EPTCS.151,journals/corr/EsikF14,,"Proceedings 14th International Conference on Automata and Formal Languages, AFL 2014, Szeged, Hungary, May 27-29, 2014.",151,2014,True,http://arxiv.org/abs/1405.5272|https://doi.org/10.4204/EPTCS.151,151
1698181,GaM@ETAPS,Alice Miller 0001|Timo Kehrer,http://arxiv.org/abs/1712.08345,journals/corr/abs-1712-08345,,"Proceedings Third Workshop on Graphs as Models, GaM@ETAPS 2017, Uppsala, Sweden, 23rd April 2017.",263,2017,True,,263
