key:string,reviewers
journals/lncs/BollingerLP91,Dieter Fensel
journals/lncs/BollingerLP91,Peter Gerstl
journals/lncs/BollingerLP91,Claudia Maienborn
journals/lncs/CarstensenS91,Hinrich Schütze
journals/lncs/CarstensenS91,Siegfried Kanngießer
journals/lncs/CarstensenS91,Zuzana Krifka Dobes
journals/lncs/FlaterY93,Stanley Y. W. Su
journals/lncs/FlaterY93,Stefano Spaccapietra
journals/lncs/FlaterY93,John Turek
journals/lncs/RollingerH91,Kai-Uwe Carstensen
journals/lncs/RollingerH91,Thomas Ludwig 0001
journals/lncs/RollingerH91,Rudi Studer
journals/lncs/BhargavaJSD93,Vram Kouramajian
journals/lncs/BhargavaJSD93,P. Bruce Berra
journals/lncs/BhargavaJSD93,Ramesh Subramanian
journals/lncs/DorreR91,Kurt Eberle
journals/lncs/DorreR91,Thomas Pirlein
journals/lncs/DorreR91,Mohammed Nadjib Khenkhar
journals/lncs/Emde91,Birgit Wendholt
journals/lncs/Emde91,Barbara Gängler
journals/lncs/Emde91,Manfred Börkel
journals/lncs/Ridoux94,Jean-Louis Imbert
journals/lncs/Ridoux94,Alexander Bockmayr
journals/lncs/Ridoux94,Ugo Montanari
journals/lncs/Blasius91,Peter C. Lockemann
journals/lncs/Blasius91,Kurt Eberle
journals/lncs/Blasius91,Hans-Joachim Novak
journals/lncs/LuckP91,Thomas Ludwig 0001
journals/lncs/LuckP91,Karl-Hans Bläsius
journals/lncs/LuckP91,Claudia Maienborn
journals/lncs/GhafoorB93,Hava T. Siegelmann
journals/lncs/GhafoorB93,Markus Tresch
journals/lncs/GhafoorB93,Yin-he Jiang
journals/lncs/Dorre91,Tibor Kiss
journals/lncs/Dorre91,Gudrun Klose
journals/lncs/Dorre91,Rudi Studer
journals/lncs/KloseL91,Kurt Eberle
journals/lncs/KloseL91,Helmut Schnelle
journals/lncs/KloseL91,Peter Gerstl
journals/lncs/Rauzy94,François Fages
journals/lncs/Rauzy94,Frédéric Benhamou
journals/lncs/Rauzy94,Hélène Kirchner
journals/lncs/Wesche91,Birgit Wendholt
journals/lncs/Wesche91,Kai-Uwe Carstensen
journals/lncs/Wesche91,Claudia Maienborn
journals/lncs/Seifert91,Rudi Studer
journals/lncs/Seifert91,Ipke Wachsmuth
journals/lncs/Seifert91,Dieter Landes
journals/lncs/SiegelmannF93,Markus Tresch
journals/lncs/SiegelmannF93,James Clifford
journals/lncs/SiegelmannF93,Bharat K. Bhargava
journals/lncs/Gust91,Andreas Arning
journals/lncs/Gust91,Anne Schiller
journals/lncs/Gust91,Erich Gehlen
journals/lncs/Lang91,Simone Pribbenow
journals/lncs/Lang91,Rudi Studer
journals/lncs/Lang91,Mechthild Rickheit
journals/lncs/Bockmayr94,Olivier Ridoux
journals/lncs/Bockmayr94,Michel Rueher
journals/lncs/Bockmayr94,Antoine Rauzy
journals/lncs/KissW91,Toni Bollinger
journals/lncs/KissW91,Rudi Studer
journals/lncs/KissW91,Hans-Joachim Novak
journals/lncs/Konig91,Wilfried Brauer
journals/lncs/Konig91,Thomas Pirlein
journals/lncs/Konig91,Manfred Börkel
journals/lncs/Browne93,Hava T. Siegelmann
journals/lncs/Browne93,P. Bruce Berra
journals/lncs/Browne93,Yin-he Jiang
journals/lncs/SubramanianA93,George Karabatis
journals/lncs/SubramanianA93,David W. Flater
journals/lncs/SubramanianA93,Narain H. Gehani
journals/lncs/WachsmuthG91,Tibor Kiss
journals/lncs/WachsmuthG91,Ewald Lang
journals/lncs/WachsmuthG91,Peter H. Schmitt
journals/lncs/Wilms91,Peter H. Schmitt
journals/lncs/Wilms91,Petra Ludewig
journals/lncs/Wilms91,Ipke Wachsmuth
journals/lncs/Clifford93,Marek Rusinkiewicz
journals/lncs/Clifford93,Shirley Browne
journals/lncs/Clifford93,Ophir Frieder
journals/lncs/DorreS91,Jürgen Angele
journals/lncs/DorreS91,Michael Ley
journals/lncs/DorreS91,Claudia Maienborn
journals/lncs/SegevC93,Phillip C.-Y. Sheu
journals/lncs/SegevC93,Roger King
journals/lncs/SegevC93,Yuh-Ming Shyy
journals/lncs/HentenryckSD94,Giuseppe Nardiello
journals/lncs/HentenryckSD94,Gert Smolka
journals/lncs/HentenryckSD94,Michel Rueher
journals/lncs/LinkS91,Peter H. Schmitt
journals/lncs/LinkS91,Mechthild Rickheit
journals/lncs/LinkS91,Helmar Gust
journals/lncs/Benhamou94,Francesca Rossi
journals/lncs/Benhamou94,Michel Rueher
journals/lncs/Benhamou94,Ugo Montanari
journals/lncs/Maienborn91,Jürgen Angele
journals/lncs/Maienborn91,Bernhard Nebel
journals/lncs/Maienborn91,Michael Ley
journals/lncs/Rueher94,Vijay A. Saraswat
journals/lncs/Rueher94,Olivier Ridoux
journals/lncs/Rueher94,Alexander Bockmayr
journals/lncs/Ludewig91,Ingo Raasch
journals/lncs/Ludewig91,Gudrun Klose
journals/lncs/Ludewig91,Hans-Joachim Novak
journals/lncs/Kiss91,Stefan Benzschawel
journals/lncs/Kiss91,Birgit Wesche
journals/lncs/Kiss91,Manfred Börkel
journals/lncs/BorkelG91,Roland Seiffert
journals/lncs/BorkelG91,Ewald Lang
journals/lncs/BorkelG91,Barbara Gängler
journals/lncs/ElmasriK93,Jagannathan Srinivasan
journals/lncs/ElmasriK93,Yuh-Ming Shyy
journals/lncs/ElmasriK93,Kokou Yétongnon
journals/lncs/Arning91,Mechthild Rickheit
journals/lncs/Arning91,Peter H. Schmitt
journals/lncs/Arning91,Claudia Maienborn
journals/lncs/Seifert91a,Bart Geurts
journals/lncs/Seifert91a,Peter C. Lockemann
journals/lncs/Seifert91a,Bernd Walter
journals/lncs/AnderssonDSYTY93,Hava T. Siegelmann
journals/lncs/AnderssonDSYTY93,Philip S. Yu
journals/lncs/AnderssonDSYTY93,Raj Tewari
journals/lncs/NebelS91,Otthein Herzog
journals/lncs/NebelS91,Ipke Wachsmuth
journals/lncs/NebelS91,Jochen Dörre
journals/lncs/Fages94,Giuseppe Nardiello
journals/lncs/Fages94,Gert Smolka
journals/lncs/Fages94,Pascal Van Hentenryck
journals/lncs/GehaniJS93,Joel L. Wolf
journals/lncs/GehaniJS93,Vimal Chopra
journals/lncs/GehaniJS93,David W. Flater
journals/lncs/SuS93,Vimal Chopra
journals/lncs/SuS93,Arie Segev
journals/lncs/SuS93,Stefano Spaccapietra
journals/lncs/DobesN91,Jürgen Angele
journals/lncs/DobesN91,Barbara Gängler
journals/lncs/DobesN91,Mechthild Rickheit
journals/lncs/AngeleFLNS91,Otthein Herzog
journals/lncs/AngeleFLNS91,Siegfried Kanngießer
journals/lncs/AngeleFLNS91,Zuzana Krifka Dobes
journals/lncs/SandtG91,Roland Seiffert
journals/lncs/SandtG91,Petra Ludewig
journals/lncs/SandtG91,Christopher Habel
journals/lncs/CodognetN94,Gert Smolka
journals/lncs/CodognetN94,Alexander Bockmayr
journals/lncs/CodognetN94,Michel Rueher
journals/lncs/Pletat91,Rolf Mayer
journals/lncs/Pletat91,Albert Maier
journals/lncs/Pletat91,Manfred Börkel
journals/lncs/Mayer91,Wilfried Brauer
journals/lncs/Mayer91,Kai-Uwe Carstensen
journals/lncs/Mayer91,Dieter Landes
journals/lncs/Schmitt91,Rob A. van der Sandt
journals/lncs/Schmitt91,Bart Geurts
journals/lncs/Schmitt91,Erich Gehlen
journals/lncs/Pribbenow91,Gert Smolka
journals/lncs/Pribbenow91,Ewald Lang
journals/lncs/Pribbenow91,Petra Ludewig
journals/lncs/Imbert94,Baudouin Le Charlier
journals/lncs/Imbert94,Hélène Kirchner
journals/lncs/Imbert94,Olivier Ridoux
journals/lncs/Eberle91,Godehard Link
journals/lncs/Eberle91,Albert Maier
journals/lncs/Eberle91,Peter Gerstl
journals/lncs/Kanngiesser91,Geoffrey Simmons
journals/lncs/Kanngiesser91,Christopher Habel
journals/lncs/Kanngiesser91,Helmut Schnelle
journals/lncs/MontanariR94,Jean-Louis Imbert
journals/lncs/MontanariR94,Philippe Codognet
journals/lncs/MontanariR94,Antoine Rauzy
journals/lncs/Charlier94,Frédéric Benhamou
journals/lncs/Charlier94,Jean-Louis Imbert
journals/lncs/Charlier94,Alexander Bockmayr
journals/lncs/Kirchner94,Vijay A. Saraswat
journals/lncs/Kirchner94,Hubert Comon
journals/lncs/Kirchner94,Pascal Van Hentenryck
journals/lncs/Comon94,Olivier Ridoux
journals/lncs/Comon94,Frédéric Benhamou
journals/lncs/Comon94,Ugo Montanari
journals/lncs/FranchittiK93,Pierangela Samarati
journals/lncs/FranchittiK93,Yann Dupont
journals/lncs/FranchittiK93,Joel L. Wolf
journals/lncs/BrauerLS91,Ewald Lang
journals/lncs/BrauerLS91,Peter H. Schmitt
journals/lncs/BrauerLS91,Udo Pletat
journals/lncs/Novak91,Birgit Wesche
journals/lncs/Novak91,Jürgen Angele
journals/lncs/Novak91,Jochen Dörre
